news_id,company_id,tarih,kaynak,baslik,sentiment
N00329,F00060,2024-02-01,Ekonomim,Umut Teknoloji A.Ş. hakkında konkordato talebiyle ilgili haberler gündeme geldi.,olumsuz
N00330,F00907,2024-10-04,Hürriyet Ekonomi,"Mavera Yazılım A.Ş., yönetim kurulu üyeliklerinde değişikliğe gitti.",notr
N00331,F00997,2026-01-04,Sözcü,"Bahar İnşaat Ltd. Şti., İzmir'deki üretim kapasitesini artırmak için genişleme planlarını duyurdu.",olumlu
N00332,F00276,2025-06-11,Sözcü,"Bumerang Holding A.Ş., 2025 yılında Gıda ve İçecek sektöründe 286 milyon TL'lik yeni yatırım kararı aldığını açıkladı.",olumlu
N00333,F00809,2024-11-08,Hürriyet Ekonomi,Toros Tekstil Ltd. Şti. hakkında Mersin Ticaret Mahkemesi'nde alacaklılarla ilgili dava açıldığı öğrenildi.,olumsuz
N00334,F00809,2026-01-07,Dünya Gazetesi,"Toros Tekstil Ltd. Şti., Mersin'deki üretim kapasitesini artırmak için genişleme planlarını duyurdu.",olumlu
N00335,F00809,2024-07-25,Sözcü,"Toros Tekstil Ltd. Şti., 2024 yılı genel kurul toplantısını Mersin'de gerçekleştirdi.",notr
N00336,F00908,2022-10-22,Bloomberg HT,"Aydın Teknoloji A.Ş., 2022 yılında Gıda ve İçecek sektöründe 154 milyon TL'lik yeni yatırım kararı aldığını açıkladı.",olumlu
N00337,F00658,2023-08-19,Dünya Gazetesi,"Vadi Holding A.Ş., 2023 yılı genel kurul toplantısını İzmir'de gerçekleştirdi.",notr
N00338,F00658,2023-10-07,Sözcü,"Vadi Holding A.Ş., yönetim kurulu üyeliklerinde değişikliğe gitti.",notr
N00339,F00957,2026-06-19,Sözcü,"Toprak İnşaat Ltd. Şti., Bursa'deki üretim kapasitesini artırmak için genişleme planlarını duyurdu.",olumlu
N00340,F00886,2025-07-21,Hürriyet Ekonomi,"Aydın Tekstil A.Ş., yeni ihracat pazarlarına açılarak uluslararası büyüme hedeflerini yükseltti.",olumlu
N00341,F00221,2026-03-31,Sözcü,Yörünge Otomotiv A.Ş. hakkında İstanbul Ticaret Mahkemesi'nde alacaklılarla ilgili dava açıldığı öğrenildi.,olumsuz
N00342,F00221,2026-02-13,Ekonomim,"Yörünge Otomotiv A.Ş., İstanbul'deki üretim kapasitesini artırmak için genişleme planlarını duyurdu.",olumlu
N00343,F00789,2025-02-27,Hürriyet Ekonomi,Berrak Kimya A.Ş. hakkında konkordato talebiyle ilgili haberler gündeme geldi.,olumsuz
N00344,F00789,2023-05-17,Hürriyet Ekonomi,"Berrak Kimya A.Ş., 2023 yılında Otomotiv sektöründe 481 milyon TL'lik yeni yatırım kararı aldığını açıkladı.",olumlu
N00345,F00712,2024-12-24,Hürriyet Ekonomi,"Yıldız Teknoloji Ltd. Şti., yeni ihracat pazarlarına açılarak uluslararası büyüme hedeflerini yükseltti.",olumlu
N00346,F00714,2026-04-07,Sözcü,"Ege Tekstil Ltd. Şti., 2026 yılında nakit akışı sorunları nedeniyle bazı ödemelerini erteledi.",olumsuz
N00347,F00714,2025-06-16,Hürriyet Ekonomi,"Ege Tekstil Ltd. Şti., 2025 yılı genel kurul toplantısını İstanbul'de gerçekleştirdi.",notr
N00348,F00714,2024-04-15,Ekonomim,"Ege Tekstil Ltd. Şti., sektör raporlarında Tekstil alanındaki oyunculardan biri olarak yer aldı.",notr
N00349,F01113,2024-10-23,Bloomberg HT,"Zirve İnşaat A.Ş., yeni ihracat pazarlarına açılarak uluslararası büyüme hedeflerini yükseltti.",olumlu
N00350,F01113,2024-08-03,Bloomberg HT,"Zirve İnşaat A.Ş., İzmir'deki üretim kapasitesini artırmak için genişleme planlarını duyurdu.",olumlu
N00351,F01191,2025-01-24,Dünya Gazetesi,"Doruk Teknoloji A.Ş., 2025 yılında nakit akışı sorunları nedeniyle bazı ödemelerini erteledi.",olumsuz
N00352,F00790,2026-07-03,Hürriyet Ekonomi,Doğuş Holding Ltd. Şti. hakkında konkordato talebiyle ilgili haberler gündeme geldi.,olumsuz
N00353,F00790,2025-03-10,Dünya Gazetesi,"Doğuş Holding Ltd. Şti., sektör raporlarında Kimya alanındaki oyunculardan biri olarak yer aldı.",notr
N00354,F00416,2026-04-24,Sözcü,"Meridyen Turizm Ltd. Şti. yönetimi, sektördeki daralma nedeniyle küçülme kararı aldığını duyurdu.",olumsuz
N00355,F00899,2022-06-30,Dünya Gazetesi,"Yıldız Kimya Ltd. Şti., 2022 yılı genel kurul toplantısını Gaziantep'de gerçekleştirdi.",notr
N00356,F00935,2026-03-19,Dünya Gazetesi,Cevher Ticaret A.Ş. hakkında Denizli Ticaret Mahkemesi'nde alacaklılarla ilgili dava açıldığı öğrenildi.,olumsuz
N00357,F00935,2022-04-07,Sözcü,"Cevher Ticaret A.Ş., 2022 yılında Enerji sektöründe 232 milyon TL'lik yeni yatırım kararı aldığını açıkladı.",olumlu
N00358,F00266,2025-07-03,Dünya Gazetesi,"Yıldız Holding A.Ş. yönetimi, sektördeki daralma nedeniyle küçülme kararı aldığını duyurdu.",olumsuz
N00359,F00266,2026-06-15,Dünya Gazetesi,"Yıldız Holding A.Ş., İstanbul'deki üretim kapasitesini artırmak için genişleme planlarını duyurdu.",olumlu
N00360,F00632,2026-06-30,Bloomberg HT,"Rüzgar Holding A.Ş., 2026 yılı genel kurul toplantısını Kayseri'de gerçekleştirdi.",notr
N00361,F00248,2022-10-28,Dünya Gazetesi,"Kervan Tarım Ltd. Şti., sektör raporlarında Finans ve Sigorta alanındaki oyunculardan biri olarak yer aldı.",notr
N00362,F00248,2024-10-21,Ekonomim,"Kervan Tarım Ltd. Şti., sektör raporlarında Finans ve Sigorta alanındaki oyunculardan biri olarak yer aldı.",notr
N00363,F00248,2026-07-12,Hürriyet Ekonomi,Kervan Tarım Ltd. Şti. hakkında konkordato talebiyle ilgili haberler gündeme geldi.,olumsuz
N00364,F00683,2024-10-25,Dünya Gazetesi,"Sahil Makine Ltd. Şti., Bursa'deki üretim kapasitesini artırmak için genişleme planlarını duyurdu.",olumlu
N00365,F00683,2022-06-14,Sözcü,"Sahil Makine Ltd. Şti., yönetim kurulu üyeliklerinde değişikliğe gitti.",notr
N00366,F00559,2026-08-22,Bloomberg HT,"Yıldız Endüstri A.Ş. yönetimi, 2026 yılı ilk yarısında cironun beklentilerin üzerinde arttığını bildirdi.",olumlu
N00367,F00559,2024-01-01,Hürriyet Ekonomi,"Yıldız Endüstri A.Ş., Bursa'deki üretim kapasitesini artırmak için genişleme planlarını duyurdu.",olumlu
N00368,F01137,2024-12-12,Dünya Gazetesi,"Kervan Holding A.Ş., yönetim kurulu üyeliklerinde değişikliğe gitti.",notr
N00369,F01137,2026-03-12,Ekonomim,"Kervan Holding A.Ş., 2026 yılında Tekstil sektöründe 207 milyon TL'lik yeni yatırım kararı aldığını açıkladı.",olumlu
N00370,F01137,2026-07-05,Sözcü,Kervan Holding A.Ş. hakkında İstanbul Ticaret Mahkemesi'nde alacaklılarla ilgili dava açıldığı öğrenildi.,olumsuz
N00371,F00968,2022-07-21,Hürriyet Ekonomi,"Mavera Makine Ltd. Şti. yönetimi, 2022 yılı ilk yarısında cironun beklentilerin üzerinde arttığını bildirdi.",olumlu
N00372,F00968,2024-04-25,Dünya Gazetesi,"Mavera Makine Ltd. Şti. yönetimi, sektördeki daralma nedeniyle küçülme kararı aldığını duyurdu.",olumsuz
N00373,F01005,2023-10-06,Bloomberg HT,"Cevher Tekstil Ltd. Şti., yönetim kurulu üyeliklerinde değişikliğe gitti.",notr
N00374,F00985,2024-01-12,Hürriyet Ekonomi,Ege Gıda A.Ş. hakkında İzmir Ticaret Mahkemesi'nde alacaklılarla ilgili dava açıldığı öğrenildi.,olumsuz
N00375,F00985,2026-06-29,Dünya Gazetesi,"Ege Gıda A.Ş. yönetimi, sektördeki daralma nedeniyle küçülme kararı aldığını duyurdu.",olumsuz
N00376,F00295,2022-08-30,Bloomberg HT,"Doğuş Danışmanlık Ltd. Şti., sektör raporlarında Sağlık alanındaki oyunculardan biri olarak yer aldı.",notr
N00377,F00295,2025-09-20,Sözcü,"Doğuş Danışmanlık Ltd. Şti., yeni ihracat pazarlarına açılarak uluslararası büyüme hedeflerini yükseltti.",olumlu
N00378,F00295,2023-10-15,Bloomberg HT,"Doğuş Danışmanlık Ltd. Şti., Ankara'deki üretim kapasitesini artırmak için genişleme planlarını duyurdu.",olumlu
N00379,F00520,2023-03-28,Ekonomim,"Meridyen Turizm Ltd. Şti., İstanbul'deki üretim kapasitesini artırmak için genişleme planlarını duyurdu.",olumlu
N00380,F00520,2024-06-04,Ekonomim,"Meridyen Turizm Ltd. Şti., 2024 yılı genel kurul toplantısını İstanbul'de gerçekleştirdi.",notr
N00381,F00771,2025-03-05,Dünya Gazetesi,"Deniz Metal A.Ş., Bursa'deki üretim kapasitesini artırmak için genişleme planlarını duyurdu.",olumlu
N00382,F00771,2025-08-16,Dünya Gazetesi,"Deniz Metal A.Ş., 2025 yılında Gıda ve İçecek sektöründe 96 milyon TL'lik yeni yatırım kararı aldığını açıkladı.",olumlu
N00383,F00084,2023-01-28,Bloomberg HT,"Aydın Kimya A.Ş., İstanbul'deki üretim kapasitesini artırmak için genişleme planlarını duyurdu.",olumlu
N00384,F00232,2026-02-22,Ekonomim,"Meridyen Makine A.Ş. yönetimi, 2026 yılı ilk yarısında cironun beklentilerin üzerinde arttığını bildirdi.",olumlu
N00385,F00232,2023-12-31,Dünya Gazetesi,Meridyen Makine A.Ş. hakkında Konya Ticaret Mahkemesi'nde alacaklılarla ilgili dava açıldığı öğrenildi.,olumsuz
N00386,F00621,2026-01-19,Sözcü,"Doğuş Metal A.Ş., 2026 yılında nakit akışı sorunları nedeniyle bazı ödemelerini erteledi.",olumsuz
N00387,F00621,2024-03-20,Hürriyet Ekonomi,"Doğuş Metal A.Ş., sektör raporlarında Eğitim alanındaki oyunculardan biri olarak yer aldı.",notr
N00388,F00334,2026-04-19,Sözcü,Deniz İnşaat Ltd. Şti. hakkında Adana Ticaret Mahkemesi'nde alacaklılarla ilgili dava açıldığı öğrenildi.,olumsuz
N00389,F00334,2024-08-18,Ekonomim,"Deniz İnşaat Ltd. Şti. yönetimi, 2024 yılı ilk yarısında cironun beklentilerin üzerinde arttığını bildirdi.",olumlu
N00390,F00334,2022-01-26,Bloomberg HT,"Deniz İnşaat Ltd. Şti., 2022 yılında nakit akışı sorunları nedeniyle bazı ödemelerini erteledi.",olumsuz
N00391,F00130,2023-09-06,Hürriyet Ekonomi,"Yıldız Tekstil Ltd. Şti. yönetimi, sektördeki daralma nedeniyle küçülme kararı aldığını duyurdu.",olumsuz
N00392,F00130,2026-05-20,Dünya Gazetesi,Yıldız Tekstil Ltd. Şti. hakkında Eskişehir Ticaret Mahkemesi'nde alacaklılarla ilgili dava açıldığı öğrenildi.,olumsuz
N00393,F01012,2026-05-23,Bloomberg HT,"Zirve Yazılım A.Ş., sektör raporlarında Tarım alanındaki oyunculardan biri olarak yer aldı.",notr
N00394,F01012,2022-02-07,Dünya Gazetesi,"Zirve Yazılım A.Ş., sektör raporlarında Tarım alanındaki oyunculardan biri olarak yer aldı.",notr
N00395,F01012,2025-04-24,Sözcü,Zirve Yazılım A.Ş. hakkında konkordato talebiyle ilgili haberler gündeme geldi.,olumsuz
N00396,F00645,2025-03-21,Bloomberg HT,"Nokta Lojistik A.Ş., yeni ihracat pazarlarına açılarak uluslararası büyüme hedeflerini yükseltti.",olumlu
N00397,F00974,2023-02-14,Sözcü,"Kıvılcım Makine A.Ş., 2023 yılı genel kurul toplantısını Bursa'de gerçekleştirdi.",notr
N00398,F00974,2022-12-25,Dünya Gazetesi,Kıvılcım Makine A.Ş. hakkında Bursa Ticaret Mahkemesi'nde alacaklılarla ilgili dava açıldığı öğrenildi.,olumsuz
N00399,F00383,2022-12-15,Bloomberg HT,"Bereket Yazılım Ltd. Şti., yeni ihracat pazarlarına açılarak uluslararası büyüme hedeflerini yükseltti.",olumlu
N00400,F00383,2024-04-22,Hürriyet Ekonomi,"Bereket Yazılım Ltd. Şti., yeni ihracat pazarlarına açılarak uluslararası büyüme hedeflerini yükseltti.",olumlu
N00401,F00383,2025-07-04,Dünya Gazetesi,"Bereket Yazılım Ltd. Şti., yeni ihracat pazarlarına açılarak uluslararası büyüme hedeflerini yükseltti.",olumlu
N00402,F00868,2023-05-09,Sözcü,"Damla Danışmanlık Ltd. Şti., 2023 yılında Lojistik sektöründe 453 milyon TL'lik yeni yatırım kararı aldığını açıkladı.",olumlu
N00403,F00868,2024-12-23,Ekonomim,"Damla Danışmanlık Ltd. Şti., 2024 yılında Lojistik sektöründe 439 milyon TL'lik yeni yatırım kararı aldığını açıkladı.",olumlu
N00404,F00543,2025-09-04,Sözcü,"Pusula Lojistik Ltd. Şti., sektör raporlarında Sağlık alanındaki oyunculardan biri olarak yer aldı.",notr
N00405,F00543,2026-07-04,Bloomberg HT,"Pusula Lojistik Ltd. Şti., 2026 yılı genel kurul toplantısını Ankara'de gerçekleştirdi.",notr
N00406,F01194,2022-11-10,Bloomberg HT,Damla İnşaat A.Ş. hakkında konkordato talebiyle ilgili haberler gündeme geldi.,olumsuz
N00407,F01194,2022-10-23,Dünya Gazetesi,Damla İnşaat A.Ş. hakkında İstanbul Ticaret Mahkemesi'nde alacaklılarla ilgili dava açıldığı öğrenildi.,olumsuz
N00408,F01194,2025-03-03,Hürriyet Ekonomi,"Damla İnşaat A.Ş., İstanbul'deki üretim kapasitesini artırmak için genişleme planlarını duyurdu.",olumlu
N00409,F00875,2022-09-20,Hürriyet Ekonomi,"Anka Turizm A.Ş. yönetimi, 2022 yılı ilk yarısında cironun beklentilerin üzerinde arttığını bildirdi.",olumlu
N00410,F00332,2025-08-02,Hürriyet Ekonomi,"Pusula Turizm Ltd. Şti. yönetimi, sektördeki daralma nedeniyle küçülme kararı aldığını duyurdu.",olumsuz
N00411,F00410,2024-12-11,Ekonomim,"Toprak Gıda Ltd. Şti., 2024 yılı genel kurul toplantısını İstanbul'de gerçekleştirdi.",notr
N00412,F00410,2024-12-11,Dünya Gazetesi,"Toprak Gıda Ltd. Şti., yönetim kurulu üyeliklerinde değişikliğe gitti.",notr
N00413,F00410,2023-06-07,Sözcü,"Toprak Gıda Ltd. Şti., 2023 yılında nakit akışı sorunları nedeniyle bazı ödemelerini erteledi.",olumsuz
N00414,F00077,2023-03-23,Hürriyet Ekonomi,"Bereket Tekstil A.Ş., 2023 yılı genel kurul toplantısını İstanbul'de gerçekleştirdi.",notr
N00415,F00077,2023-09-21,Ekonomim,"Bereket Tekstil A.Ş. yönetimi, sektördeki daralma nedeniyle küçülme kararı aldığını duyurdu.",olumsuz
N00416,F00869,2023-02-09,Ekonomim,Damla İnşaat A.Ş. hakkında Konya Ticaret Mahkemesi'nde alacaklılarla ilgili dava açıldığı öğrenildi.,olumsuz
N00417,F00139,2025-11-23,Bloomberg HT,"Zirve Ticaret Ltd. Şti., yeni ihracat pazarlarına açılarak uluslararası büyüme hedeflerini yükseltti.",olumlu
N00418,F00544,2022-06-05,Sözcü,"Kıvılcım İnşaat Ltd. Şti., 2022 yılında Finans ve Sigorta sektöründe 8 milyon TL'lik yeni yatırım kararı aldığını açıkladı.",olumlu
N00419,F00544,2026-03-30,Sözcü,"Kıvılcım İnşaat Ltd. Şti., yeni ihracat pazarlarına açılarak uluslararası büyüme hedeflerini yükseltti.",olumlu
N00420,F00674,2022-05-07,Dünya Gazetesi,"Kaptan Sistem A.Ş., 2022 yılında İnşaat sektöründe 279 milyon TL'lik yeni yatırım kararı aldığını açıkladı.",olumlu
N00421,F00674,2023-02-23,Ekonomim,"Kaptan Sistem A.Ş., yeni ihracat pazarlarına açılarak uluslararası büyüme hedeflerini yükseltti.",olumlu
N00422,F00921,2023-07-04,Dünya Gazetesi,"Bereket Makine A.Ş., 2023 yılı genel kurul toplantısını Antalya'de gerçekleştirdi.",notr
N00423,F00064,2023-08-10,Bloomberg HT,"Umut Lojistik Ltd. Şti., 2023 yılında Bilişim ve Yazılım sektöründe 159 milyon TL'lik yeni yatırım kararı aldığını açıkladı.",olumlu
N00424,F00142,2024-11-26,Sözcü,"Nokta Gıda Ltd. Şti., yönetim kurulu üyeliklerinde değişikliğe gitti.",notr
N00425,F00142,2026-07-13,Sözcü,"Nokta Gıda Ltd. Şti., yeni ihracat pazarlarına açılarak uluslararası büyüme hedeflerini yükseltti.",olumlu
N00426,F00717,2022-01-01,Dünya Gazetesi,"Vadi Grup Ltd. Şti. yönetimi, 2022 yılı ilk yarısında cironun beklentilerin üzerinde arttığını bildirdi.",olumlu
N00427,F00717,2026-07-23,Hürriyet Ekonomi,"Vadi Grup Ltd. Şti., 2026 yılı genel kurul toplantısını İstanbul'de gerçekleştirdi.",notr
N00428,F00717,2024-02-03,Hürriyet Ekonomi,Vadi Grup Ltd. Şti. hakkında konkordato talebiyle ilgili haberler gündeme geldi.,olumsuz
N00429,F00377,2022-10-28,Bloomberg HT,"Kıvılcım Turizm A.Ş., 2022 yılı genel kurul toplantısını İstanbul'de gerçekleştirdi.",notr
N00430,F00377,2025-11-22,Dünya Gazetesi,"Kıvılcım Turizm A.Ş., sektör raporlarında Perakende Ticaret alanındaki oyunculardan biri olarak yer aldı.",notr
N00431,F00364,2023-12-05,Ekonomim,Deniz Metal Ltd. Şti. hakkında Denizli Ticaret Mahkemesi'nde alacaklılarla ilgili dava açıldığı öğrenildi.,olumsuz
N00432,F00364,2022-11-28,Ekonomim,"Deniz Metal Ltd. Şti., Denizli'deki üretim kapasitesini artırmak için genişleme planlarını duyurdu.",olumlu
N00433,F00140,2025-02-22,Sözcü,"Toprak Makine Ltd. Şti. yönetimi, 2025 yılı ilk yarısında cironun beklentilerin üzerinde arttığını bildirdi.",olumlu
N00434,F00885,2022-11-24,Sözcü,"Erguvan Metal A.Ş., Ankara'deki üretim kapasitesini artırmak için genişleme planlarını duyurdu.",olumlu
N00435,F00885,2025-03-14,Ekonomim,"Erguvan Metal A.Ş., 2025 yılında nakit akışı sorunları nedeniyle bazı ödemelerini erteledi.",olumsuz
N00436,F01042,2023-02-06,Sözcü,"Kervan Sistem A.Ş. yönetimi, 2023 yılı ilk yarısında cironun beklentilerin üzerinde arttığını bildirdi.",olumlu
N00437,F00225,2025-01-22,Ekonomim,"Umut Sistem A.Ş., İstanbul'deki üretim kapasitesini artırmak için genişleme planlarını duyurdu.",olumlu
N00438,F00515,2023-04-06,Hürriyet Ekonomi,"Yıldız Grup Ltd. Şti., 2023 yılında Tekstil sektöründe 108 milyon TL'lik yeni yatırım kararı aldığını açıkladı.",olumlu
N00439,F00515,2025-05-13,Sözcü,"Yıldız Grup Ltd. Şti. yönetimi, 2025 yılı ilk yarısında cironun beklentilerin üzerinde arttığını bildirdi.",olumlu
N00440,F00267,2024-10-21,Hürriyet Ekonomi,"Çınar Grup A.Ş., yönetim kurulu üyeliklerinde değişikliğe gitti.",notr
N00441,F01170,2023-01-08,Hürriyet Ekonomi,"Mavera Turizm Ltd. Şti., 2023 yılında Lojistik sektöründe 109 milyon TL'lik yeni yatırım kararı aldığını açıkladı.",olumlu
N00442,F00487,2024-01-26,Ekonomim,"Çınar Danışmanlık Ltd. Şti., yeni ihracat pazarlarına açılarak uluslararası büyüme hedeflerini yükseltti.",olumlu
N00443,F00487,2024-10-27,Dünya Gazetesi,Çınar Danışmanlık Ltd. Şti. hakkında İzmir Ticaret Mahkemesi'nde alacaklılarla ilgili dava açıldığı öğrenildi.,olumsuz
N00444,F00487,2023-04-04,Sözcü,"Çınar Danışmanlık Ltd. Şti., yeni ihracat pazarlarına açılarak uluslararası büyüme hedeflerini yükseltti.",olumlu
N00445,F00353,2026-04-12,Hürriyet Ekonomi,"Toprak Turizm A.Ş., 2026 yılında Perakende Ticaret sektöründe 376 milyon TL'lik yeni yatırım kararı aldığını açıkladı.",olumlu
N00446,F01006,2025-07-02,Sözcü,"Toprak Yazılım Ltd. Şti., yönetim kurulu üyeliklerinde değişikliğe gitti.",notr
N00447,F00618,2024-11-07,Dünya Gazetesi,"Doğuş Makine A.Ş., Trabzon'deki üretim kapasitesini artırmak için genişleme planlarını duyurdu.",olumlu
N00448,F00618,2022-04-07,Hürriyet Ekonomi,"Doğuş Makine A.Ş., 2022 yılı genel kurul toplantısını Trabzon'de gerçekleştirdi.",notr
N00449,F00668,2025-03-06,Hürriyet Ekonomi,Çınar Endüstri Ltd. Şti. hakkında İstanbul Ticaret Mahkemesi'nde alacaklılarla ilgili dava açıldığı öğrenildi.,olumsuz
N00450,F00775,2025-03-06,Sözcü,"Toros Makine A.Ş., yeni ihracat pazarlarına açılarak uluslararası büyüme hedeflerini yükseltti.",olumlu
N00451,F00775,2023-01-09,Ekonomim,"Toros Makine A.Ş., yeni ihracat pazarlarına açılarak uluslararası büyüme hedeflerini yükseltti.",olumlu
N00452,F00554,2022-03-19,Sözcü,"Meridyen Metal A.Ş., yeni ihracat pazarlarına açılarak uluslararası büyüme hedeflerini yükseltti.",olumlu
N00453,F00576,2023-05-30,Ekonomim,Mavera Lojistik A.Ş. hakkında konkordato talebiyle ilgili haberler gündeme geldi.,olumsuz
N00454,F00576,2024-11-29,Ekonomim,"Mavera Lojistik A.Ş. yönetimi, sektördeki daralma nedeniyle küçülme kararı aldığını duyurdu.",olumsuz
N00455,F00915,2025-03-02,Hürriyet Ekonomi,"Ege Tekstil Ltd. Şti., sektör raporlarında Turizm ve Konaklama alanındaki oyunculardan biri olarak yer aldı.",notr
N00456,F00915,2025-11-18,Dünya Gazetesi,"Ege Tekstil Ltd. Şti., Gaziantep'deki üretim kapasitesini artırmak için genişleme planlarını duyurdu.",olumlu
N00457,F00466,2024-12-04,Ekonomim,"Berrak Lojistik Ltd. Şti. yönetimi, sektördeki daralma nedeniyle küçülme kararı aldığını duyurdu.",olumsuz
N00458,F00466,2024-04-22,Bloomberg HT,"Berrak Lojistik Ltd. Şti., yönetim kurulu üyeliklerinde değişikliğe gitti.",notr
N00459,F00591,2026-01-29,Hürriyet Ekonomi,"Bereket Metal Ltd. Şti., yeni ihracat pazarlarına açılarak uluslararası büyüme hedeflerini yükseltti.",olumlu
N00460,F00765,2024-07-18,Sözcü,"Doruk Yazılım Ltd. Şti. yönetimi, 2024 yılı ilk yarısında cironun beklentilerin üzerinde arttığını bildirdi.",olumlu
N00461,F00765,2023-11-03,Sözcü,"Doruk Yazılım Ltd. Şti., sektör raporlarında İnşaat alanındaki oyunculardan biri olarak yer aldı.",notr
N00462,F00635,2023-02-15,Dünya Gazetesi,"Meridyen Endüstri Ltd. Şti. yönetimi, 2023 yılı ilk yarısında cironun beklentilerin üzerinde arttığını bildirdi.",olumlu
N00463,F00838,2022-10-10,Ekonomim,"Pusula Tarım Ltd. Şti. yönetimi, 2022 yılı ilk yarısında cironun beklentilerin üzerinde arttığını bildirdi.",olumlu
N00464,F00838,2024-05-22,Sözcü,"Pusula Tarım Ltd. Şti., İstanbul'deki üretim kapasitesini artırmak için genişleme planlarını duyurdu.",olumlu
N00465,F00290,2025-05-08,Hürriyet Ekonomi,"Bereket Tarım A.Ş., 2025 yılında Lojistik sektöründe 102 milyon TL'lik yeni yatırım kararı aldığını açıkladı.",olumlu
N00466,F00290,2026-03-06,Ekonomim,"Bereket Tarım A.Ş., 2026 yılında Lojistik sektöründe 138 milyon TL'lik yeni yatırım kararı aldığını açıkladı.",olumlu
N00467,F00040,2025-08-07,Sözcü,"Cevher Holding A.Ş., yönetim kurulu üyeliklerinde değişikliğe gitti.",notr
N00468,F00040,2025-08-04,Sözcü,Cevher Holding A.Ş. hakkında konkordato talebiyle ilgili haberler gündeme geldi.,olumsuz
N00469,F00031,2022-11-18,Sözcü,"Rüzgar Sistem A.Ş., 2022 yılında Otomotiv sektöründe 313 milyon TL'lik yeni yatırım kararı aldığını açıkladı.",olumlu
N00470,F00031,2025-07-23,Hürriyet Ekonomi,"Rüzgar Sistem A.Ş., sektör raporlarında Otomotiv alanındaki oyunculardan biri olarak yer aldı.",notr
N00471,F00243,2022-05-15,Sözcü,"Vadi Ticaret Ltd. Şti., sektör raporlarında Tarım alanındaki oyunculardan biri olarak yer aldı.",notr
N00472,F00429,2024-12-10,Bloomberg HT,"Nokta Danışmanlık Ltd. Şti. yönetimi, 2024 yılı ilk yarısında cironun beklentilerin üzerinde arttığını bildirdi.",olumlu
N00473,F00429,2022-04-14,Ekonomim,"Nokta Danışmanlık Ltd. Şti., yönetim kurulu üyeliklerinde değişikliğe gitti.",notr
N00474,F00137,2023-11-02,Sözcü,"Nokta Enerji Ltd. Şti., 2023 yılında nakit akışı sorunları nedeniyle bazı ödemelerini erteledi.",olumsuz
N00475,F00137,2023-02-02,Sözcü,Nokta Enerji Ltd. Şti. hakkında konkordato talebiyle ilgili haberler gündeme geldi.,olumsuz
N00476,F01101,2025-06-23,Sözcü,"Deniz Holding Ltd. Şti., İstanbul'deki üretim kapasitesini artırmak için genişleme planlarını duyurdu.",olumlu
N00477,F01101,2026-06-30,Bloomberg HT,"Deniz Holding Ltd. Şti., 2026 yılında Tekstil sektöründe 232 milyon TL'lik yeni yatırım kararı aldığını açıkladı.",olumlu
N00478,F00865,2026-03-14,Bloomberg HT,Deniz Tarım Ltd. Şti. hakkında konkordato talebiyle ilgili haberler gündeme geldi.,olumsuz
N00479,F00004,2026-05-08,Dünya Gazetesi,"Cevher Grup Ltd. Şti., yeni ihracat pazarlarına açılarak uluslararası büyüme hedeflerini yükseltti.",olumlu
N00480,F00004,2025-08-26,Hürriyet Ekonomi,"Cevher Grup Ltd. Şti., yönetim kurulu üyeliklerinde değişikliğe gitti.",notr
N00481,F00833,2024-11-07,Sözcü,"Sahil Sistem A.Ş., sektör raporlarında Tarım alanındaki oyunculardan biri olarak yer aldı.",notr
N00482,F00603,2026-04-12,Ekonomim,"Doruk Ticaret A.Ş., Ankara'deki üretim kapasitesini artırmak için genişleme planlarını duyurdu.",olumlu
N00483,F00603,2024-03-15,Ekonomim,"Doruk Ticaret A.Ş., 2024 yılı genel kurul toplantısını Ankara'de gerçekleştirdi.",notr
N00484,F01034,2023-12-09,Sözcü,"Sahil Holding A.Ş. yönetimi, 2023 yılı ilk yarısında cironun beklentilerin üzerinde arttığını bildirdi.",olumlu
N00485,F00655,2023-06-26,Sözcü,"Çınar Kimya A.Ş., yönetim kurulu üyeliklerinde değişikliğe gitti.",notr
N00486,F00655,2024-10-21,Bloomberg HT,"Çınar Kimya A.Ş. yönetimi, 2024 yılı ilk yarısında cironun beklentilerin üzerinde arttığını bildirdi.",olumlu
N00487,F00844,2024-04-25,Ekonomim,"Deniz Metal Ltd. Şti. yönetimi, sektördeki daralma nedeniyle küçülme kararı aldığını duyurdu.",olumsuz
N00488,F00844,2024-08-07,Hürriyet Ekonomi,"Deniz Metal Ltd. Şti., sektör raporlarında Tekstil alanındaki oyunculardan biri olarak yer aldı.",notr
N00489,F00784,2023-07-30,Ekonomim,"Kaptan Tarım A.Ş., Ankara'deki üretim kapasitesini artırmak için genişleme planlarını duyurdu.",olumlu
N00490,F00784,2022-07-24,Hürriyet Ekonomi,"Kaptan Tarım A.Ş., Ankara'deki üretim kapasitesini artırmak için genişleme planlarını duyurdu.",olumlu
N00491,F01074,2025-02-18,Ekonomim,"Meridyen Endüstri A.Ş., 2025 yılında Eğitim sektöründe 15 milyon TL'lik yeni yatırım kararı aldığını açıkladı.",olumlu
N00492,F01074,2022-11-01,Dünya Gazetesi,"Meridyen Endüstri A.Ş., 2022 yılında Eğitim sektöründe 321 milyon TL'lik yeni yatırım kararı aldığını açıkladı.",olumlu
